data_source,location_name,lat,lon,assigned_node_id
SafeGraph_POI,Med One Sleep Center,35.038208,-78.932877,170242044.0
SafeGraph_POI,Med One Sleep Center,35.038208,-78.932877,170242053.0
SafeGraph_POI,Carroll's Foods Inc No 2147,34.987423,-77.909266,170546766.0
SafeGraph_POI,Carroll's Foods Inc No 2147,34.987423,-77.909266,170528638.0
SafeGraph_POI,Midway Kwik Stop,34.334483,-77.889749,172491125.0
SafeGraph_POI,Midway Kwik Stop,34.334483,-77.889749,172491122.0
SafeGraph_POI,EVgo,35.758668,-78.876682,195564847.0
SafeGraph_POI,EVgo,35.758668,-78.876682,195631521.0
SafeGraph_POI,Sunway Charters Wilmington Amtrak,34.251204,-77.874916,172481253.0
SafeGraph_POI,Sunway Charters Wilmington Amtrak,34.251204,-77.874916,6043084697.0
SafeGraph_POI,Leliever William C MD,35.468603,-79.19056,171948672.0
SafeGraph_POI,Leliever William C MD,35.468603,-79.19056,171902693.0
SafeGraph_POI,Aunt Sandi's Learning Center,35.174299,-79.404039,172258997.0
SafeGraph_POI,Aunt Sandi's Learning Center,35.174299,-79.404039,172326263.0
SafeGraph_POI,Nakina Fire And Rescue Squad Incorporated Pireway,34.000577,-78.64907,170196041.0
SafeGraph_POI,Nakina Fire And Rescue Squad Incorporated Pireway,34.000577,-78.64907,170196031.0
SafeGraph_POI,BP,34.63377,-79.02314,173075879.0
SafeGraph_POI,BP,34.63377,-79.02314,2706300546.0
SafeGraph_POI,Daymark Recovery,34.980182,-79.223027,171598897.0
SafeGraph_POI,Daymark Recovery,34.980182,-79.223027,171609566.0
SafeGraph_POI,Cape Fear Psychological Services,34.202148,-77.930876,172491879.0
SafeGraph_POI,Cape Fear Psychological Services,34.202148,-77.930876,172491891.0
SafeGraph_POI,Harris Teeter Fuel Center,35.046153,-78.922329,170463767.0
SafeGraph_POI,Harris Teeter Fuel Center,35.046153,-78.922329,170302435.0
SafeGraph_POI,Waste Industries,34.043845,-78.23969,169586217.0
SafeGraph_POI,Waste Industries,34.043845,-78.23969,2810339114.0
SafeGraph_POI,Mediterranean Mart & Indian Foods,35.059834,-78.971679,12399523090.0
SafeGraph_POI,Mediterranean Mart & Indian Foods,35.059834,-78.971679,170256672.0
SafeGraph_POI,Valley Radiology Angier,35.515013,-78.743868,171208141.0
SafeGraph_POI,Valley Radiology Angier,35.515013,-78.743868,171162370.0
SafeGraph_POI,Novant Health,34.205212,-77.926967,172491899.0
SafeGraph_POI,Novant Health,34.205212,-77.926967,172559963.0
SafeGraph_POI,Sanford Obstetrics & Gynecology PA,35.469203,-79.189091,171857972.0
SafeGraph_POI,Sanford Obstetrics & Gynecology PA,35.469203,-79.189091,171902693.0
SafeGraph_POI,Garlands Fresh Seafood,33.946356,-78.223605,169613615.0
SafeGraph_POI,Garlands Fresh Seafood,33.946356,-78.223605,169527665.0
SafeGraph_POI,Foot & Ankle Specialists of the Mid-Atlantic,35.308612,-78.633514,3483455696.0
SafeGraph_POI,Foot & Ankle Specialists of the Mid-Atlantic,35.308612,-78.633514,171217048.0
SafeGraph_POI,Antonio Puente Ph D Clinical Neuropsychology,34.224095,-77.830935,172489838.0
SafeGraph_POI,Antonio Puente Ph D Clinical Neuropsychology,34.224095,-77.830935,172544509.0
SafeGraph_POI,Fresh Foods,34.54325,-78.797813,169411953.0
SafeGraph_POI,Fresh Foods,34.54325,-78.797813,169431950.0
SafeGraph_POI,Cousins Caribbean Grocery,35.05946,-79.049759,170345135.0
SafeGraph_POI,Cousins Caribbean Grocery,35.05946,-79.049759,11808905021.0
SafeGraph_POI,Community Stop No 5,34.764911,-79.480802,173338838.0
SafeGraph_POI,Community Stop No 5,34.764911,-79.480802,173316226.0
SafeGraph_POI,Walgreens Pharmacy,34.552626,-77.912419,172798263.0
SafeGraph_POI,Walgreens Pharmacy,34.552626,-77.912419,172798260.0
SafeGraph_POI,Harris Teeter Fuel Center,34.121502,-77.900735,172462196.0
SafeGraph_POI,Harris Teeter Fuel Center,34.121502,-77.900735,172440638.0
SafeGraph_POI,Duke Cardiovascular Surgery Of Lumberton,34.639212,-79.007033,173058507.0
SafeGraph_POI,Duke Cardiovascular Surgery Of Lumberton,34.639212,-79.007033,173058505.0
SafeGraph_POI,Smile Dentistry,33.894278,-78.495373,169458765.0
SafeGraph_POI,Smile Dentistry,33.894278,-78.495373,169526581.0
SafeGraph_POI,Burgaw Elementary School Preschool,34.55752,-77.927925,172744429.0
SafeGraph_POI,Burgaw Elementary School Preschool,34.55752,-77.927925,172789107.0
SafeGraph_POI,Hampton,35.463659,-79.155092,171876240.0
SafeGraph_POI,Hampton,35.463659,-79.155092,171913776.0
SafeGraph_POI,Handy Mart,35.211049,-78.062079,195781599.0
SafeGraph_POI,Handy Mart,35.211049,-78.062079,195810248.0
SafeGraph_POI,Pelican Seafood,33.936428,-78.063794,4373847050.0
SafeGraph_POI,Pelican Seafood,33.936428,-78.063794,169569804.0
SafeGraph_POI,Carroll's Foods,34.807876,-78.303228,4865707723.0
SafeGraph_POI,Carroll's Foods,34.807876,-78.303228,173233551.0
SafeGraph_POI,Trade Mart,34.923284,-77.773949,170536269.0
SafeGraph_POI,Trade Mart,34.923284,-77.773949,170536274.0
SafeGraph_POI,Sun Do,34.989258,-79.253321,171595418.0
SafeGraph_POI,Sun Do,34.989258,-79.253321,171595413.0
SafeGraph_POI,Wave Transit 3rd St NB at Nun,34.230559,-77.94544,172609287.0
SafeGraph_POI,Wave Transit 3rd St NB at Nun,34.230559,-77.94544,172628068.0
SafeGraph_POI,Fayetteville Area System of Transit Radnor St 71st School Rd,35.059834,-79.012599,7885895568.0
SafeGraph_POI,Fayetteville Area System of Transit Radnor St 71st School Rd,35.059834,-79.012599,170262387.0
SafeGraph_POI,Wave Transit Old Fayetteville Rd EB and Winston Ave,34.241037,-78.04399,169530248.0
SafeGraph_POI,Wave Transit Old Fayetteville Rd EB and Winston Ave,34.241037,-78.04399,169530262.0
SafeGraph_POI,Fayetteville Area System of Transit 2801 Pardoner Pl,35.009682,-79.026918,170279179.0
SafeGraph_POI,Fayetteville Area System of Transit 2801 Pardoner Pl,35.009682,-79.026918,2814960978.0
SafeGraph_POI,Nelson & Nelson Chiropractic,35.087123,-78.978358,170286019.0
SafeGraph_POI,Nelson & Nelson Chiropractic,35.087123,-78.978358,170286016.0
SafeGraph_POI,Drivers License Office,34.159036,-78.860547,170128846.0
SafeGraph_POI,Drivers License Office,34.159036,-78.860547,170203219.0
SafeGraph_POI,Holloman Margot A PHD,35.691669,-78.779477,195475167.0
SafeGraph_POI,Holloman Margot A PHD,35.691669,-78.779477,195538108.0
SafeGraph_POI,Southeastern Regional Medical Center,34.633576,-79.003687,173085216.0
SafeGraph_POI,Southeastern Regional Medical Center,34.633576,-79.003687,173096960.0
SafeGraph_POI,Gregory School Of Math Science And Tech,34.231742,-77.934302,172532423.0
SafeGraph_POI,Gregory School Of Math Science And Tech,34.231742,-77.934302,8128462701.0
SafeGraph_POI,United States Postal Service (USPS),34.657808,-78.727357,169414984.0
SafeGraph_POI,United States Postal Service (USPS),34.657808,-78.727357,169425408.0
SafeGraph_POI,C I Smith Family Dental Practice,34.616151,-79.017442,173075605.0
SafeGraph_POI,C I Smith Family Dental Practice,34.616151,-79.017442,173075607.0
SafeGraph_POI,Premier Tire & Auto Service Inc,34.263378,-77.840501,172519268.0
SafeGraph_POI,Premier Tire & Auto Service Inc,34.263378,-77.840501,172469591.0
SafeGraph_POI,Lenna Shepard CTT,34.217543,-77.89899,172508403.0
SafeGraph_POI,Lenna Shepard CTT,34.217543,-77.89899,172580337.0
SafeGraph_POI,Social Security Administration,35.475496,-79.184993,171903028.0
SafeGraph_POI,Social Security Administration,35.475496,-79.184993,171927127.0
SafeGraph_POI,Advance Auto Parts,34.989137,-78.966802,12171674306.0
SafeGraph_POI,Advance Auto Parts,34.989137,-78.966802,12171674315.0
SafeGraph_POI,El Bordega Food Mart,35.004664,-78.698713,170379754.0
SafeGraph_POI,El Bordega Food Mart,35.004664,-78.698713,170353293.0
SafeGraph_POI,Visionworks,35.067288,-78.958898,11207727301.0
SafeGraph_POI,Visionworks,35.067288,-78.958898,170219215.0
SafeGraph_POI,Simplicity Homecare and Staffing,35.414504,-78.80638,171267521.0
SafeGraph_POI,Simplicity Homecare and Staffing,35.414504,-78.80638,171267528.0
SafeGraph_POI,Devito Brandon E DDS,34.015783,-78.282823,2810323575.0
SafeGraph_POI,Devito Brandon E DDS,34.015783,-78.282823,2810323573.0
SafeGraph_POI,Eakins J William Phys,34.210873,-77.926574,172470426.0
SafeGraph_POI,Eakins J William Phys,34.210873,-77.926574,172610064.0
SafeGraph_POI,Kangaroo Express 3156,34.540328,-78.790573,169412440.0
SafeGraph_POI,Kangaroo Express 3156,34.540328,-78.790573,169408684.0
SafeGraph_POI,Food Lion,33.929928,-78.271297,169609963.0
SafeGraph_POI,Food Lion,33.929928,-78.271297,169568080.0
SafeGraph_POI,Fastee Mart,35.442831,-79.139169,171959989.0
SafeGraph_POI,Fastee Mart,35.442831,-79.139169,171913727.0
SafeGraph_POI,Family Medical Supply,33.979938,-78.378233,169523165.0
SafeGraph_POI,Family Medical Supply,33.979938,-78.378233,169532774.0
SafeGraph_POI,Shell Oil,35.014376,-79.159432,171610736.0
SafeGraph_POI,Shell Oil,35.014376,-79.159432,12240800822.0
SafeGraph_POI,Butner Primary School,35.13348,-79.011065,170374456.0
SafeGraph_POI,Butner Primary School,35.13348,-79.011065,170374460.0
SafeGraph_POI,Bt Bullock Elementary,35.506346,-79.186486,171833553.0
SafeGraph_POI,Bt Bullock Elementary,35.506346,-79.186486,171924926.0
SafeGraph_POI,Cary Cardiology,35.389905,-78.542217,149455120.0
SafeGraph_POI,Cary Cardiology,35.389905,-78.542217,149416345.0
SafeGraph_POI,Cypress Creek Renewables Pinesage Plant,35.22134,-79.518464,172288571.0
SafeGraph_POI,Cypress Creek Renewables Pinesage Plant,35.22134,-79.518464,172283226.0
SafeGraph_POI,Your Convenience No 5,34.533323,-78.072301,172821275.0
SafeGraph_POI,Your Convenience No 5,34.533323,-78.072301,172841321.0
SafeGraph_POI,Smith's Fish Market,34.322666,-78.704262,170178616.0
SafeGraph_POI,Smith's Fish Market,34.322666,-78.704262,170178619.0
SafeGraph_POI,C V Pilson Farm Produce Market,35.16328,-79.408859,7788185997.0
SafeGraph_POI,C V Pilson Farm Produce Market,35.16328,-79.408859,172286292.0
SafeGraph_POI,Tesla Destination Charger,35.194331,-79.373253,172361130.0
SafeGraph_POI,Tesla Destination Charger,35.194331,-79.373253,172297167.0
